exchange,account,symbol,markPrice,positionAmt,positionValue,symbol_pair,forcePrice,数量对冲,市值对冲
Binance,BinanceK,1INCH,0.57364934,1454,834.0861404,1INCH-USDT,,1454,834.0861404
Coinex,Coinex,AAVE,73.49,100,7349,AAVE-USDT,,40.2,2953.155639
Binance,BinanceA,AAVE,73.4914338,40.2,2954.355639,AAVE-USDT,,40.2,2953.155639
Gate,Gate,AAVE,73.502,-100,-7350.2,AAVE-USDT,,40.2,2953.155639
Bybit,Bybit,ALICE,1.576,-1800,-2836.8,ALICE-USDT,38.955,0,-0.9
FTX,FTX,ALICE,1.5755,1800,2835.9,ALICE-USDT,,0,-0.9
Binance,BinanceA,AR,9.80921963,-2513.8,-24658.41631,AR-USDT,,-2.27374E-13,12.49169411
Bybit,Bybit,AR,9.81,1460.8,14330.448,AR-USDT,0.01,-2.27374E-13,12.49169411
Bitget,Bitget,AR,9.82,1053,10340.46,AR-USDT,,-2.27374E-13,12.49169411
Kucoin,Kucoin,BAND,1.101,80000,10001.0645,BAND-USDT,,73357,2687.1215
Okx,Okx,BAND,1.101,1357,1494.057,BAND-USDT,,73357,2687.1215
Gate,Gate,BAND,1.101,-8000,-8808,BAND-USDT,,73357,2687.1215
Okx,Okx,BICO,0.372,7523,2798.556,BICO-USDT,,141,45.07
Bybit,Bybit,BICO,0.373,-7382,-2753.486,BICO-USDT,9.325,141,45.07
Binance,BinanceA,BNB,275.0579192,-13.33,-3666.522063,BNB-USDT,,-39.46,-10850.44296
Binance,BinanceA,BNB,274.93,-19,-5223.67,BNB-BUSD,,-39.46,-10850.44296
Binance,BinanceK,BNB,274.93,-7.13,-1960.2509,BNB-BUSD,,-39.46,-10850.44296
Gate,Gate,BSV,50.35,-180,-9063,BSV-USDT,,0,-5.4
FTX,FTX,BSV,50.32,180,9057.6,BSV-USDT,,0,-5.4
Binance,BinanceA,BTC,19800.58923,0.224,4435.331988,BTC-BUSD,,6.5319,129369.1868
Binance,BinanceA,BTC,19798.6686,0.082,1623.490825,BTC-USDT,,6.5319,129369.1868
Binance,BinanceK,BTC,19800.2,0.1,1980.02,BTC-BUSD,,6.5319,129369.1868
Binance,BinanceK,BTC,19798.64542,0.51,10097.30917,BTC-USDT,,6.5319,129369.1868
Bitget,Bitget,BTC,19808.5,1.439,28504.4315,BTC-USDT,,6.5319,129369.1868
Gate,Gate,BTC,19806.07,3.5,69321.245,BTC-USDT,,6.5319,129369.1868
FTX,FTX,BTC,19807,0.6769,13407.3583,BTC-USDT,,6.5319,129369.1868
Binance,BinanceK,BTCDOM,1320.687003,-2.672,-3528.875672,BTCDOM-USDT,,-2.672,-3528.875672
Coinex,Coinex,CHZ,0.19235,-50,-9.6175,CHZ-USDT,,-50,-9.6175
Binance,BinanceA,COMP,56.82590999,-49.7,-2824.247727,COMP-USDT,,-49.7,-2826.32462
Binance,BinanceK,COMP,56.82634166,-327.5,-18610.62689,COMP-USDT,,-49.7,-2826.32462
Okx,Okx,COMP,56.82,327.5,18608.55,COMP-USDT,,-49.7,-2826.32462
Binance,BinanceK,COTI,0.10179395,-11453,-1165.846109,COTI-USDT,,-11453,-1165.846109
Okx,Okx,CVC,0.12,67500,8100,CVC-USDT,,0,13.5
Bybit,Bybit,CVC,0.1198,-67500,-8086.5,CVC-USDT,1.1165,0,13.5
Coinex,Coinex,DASH,41.33,4.5,185.985,DASH-USDT,,0,0
Gate,Gate,DASH,41.33,-4.5,-185.985,DASH-USDT,,0,0
Binance,BinanceK,DGB,0.00887411,300000,2662.233,DGB-USDT,,0,-1.767
Gate,Gate,DGB,0.00888,-300000,-2664,DGB-USDT,,0,-1.767
Okx,Okx,DOGE,0.06039,16000,966.24,DOGE-USDT,,16000,966.24
Binance,BinanceK,DOT,6.22634524,8001.3,49818.85617,DOT-USDT,,-5228.752978,-32591.14383
Okx,Okx,DOT,6.229,-13230.05298,-82410,DOT-USD,,-5228.752978,-32591.14383
Binance,BinanceA,DUSK,0.11939,-40709,-4860.24751,DUSK-USDT,,0,-3.66381
Bybit,Bybit,DUSK,0.1193,40709,4856.5837,DUSK-USDT,0.0001,0,-3.66381
Coinex,Coinex,DYDX,1.5143,9570,14491.851,DYDX-USDT,,0,7.421
Bybit,Bybit,DYDX,1.514,-13070,-19787.98,DYDX-USDT,6.635,0,7.421
FTX,FTX,DYDX,1.5153,3500,5303.55,DYDX-USDT,,0,7.421
Coinex,Coinex,EGLD,54.2,204,11056.8,EGLD-USDT,,0,-0.72
Bitget,Bitget,EGLD,54.2,-192,-10406.4,EGLD-USDT,,0,-0.72
Gate,Gate,EGLD,54.26,-12,-651.12,EGLD-USDT,,0,-0.72
Binance,BinanceK,EOS,1.03852059,-40,-41.5408236,EOS-USDT,,-40,-29.7408236
Bybit,Bybit,EOS,1.037,-5900,-6118.3,EOS-USDT,12.435,-40,-29.7408236
FTX,FTX,EOS,1.039,5900,6130.1,EOS-USDT,,-40,-29.7408236
Okx,Okx,ETC,24.089,-400,-9635.6,ETC-USDT,,-400,-9635.6
Binance,BinanceA,ETH,1327.915678,-16.825,-22342.18129,ETH-USDT,,-40.75,-54108.0271
Binance,BinanceA,ETH,1327.745471,-21.226,-28182.72537,ETH-BUSD,,-40.75,-54108.0271
Binance,BinanceK,ETH,1327.867934,-9.609,-12759.48298,ETH-USDT,,-40.75,-54108.0271
Binance,BinanceK,ETH,1327.689653,-1.463,-1942.409962,ETH-BUSD,,-40.75,-54108.0271
Okx,Okx,ETH,1328.11,12.2,16202.942,ETH-USDT,,-40.75,-54108.0271
FTX,FTX,ETH,1328.5,-3.827,-5084.1695,ETH-USDT,,-40.75,-54108.0271
Okx,Okx,ETHW,7.593,-61.7,-468.4881,ETHW-USDT,,-61.7,-468.4881
Binance,BinanceA,GMT,0.60487718,-20000,-12097.5436,GMT-USDT,,0,0.4564
Okx,Okx,GMT,0.6049,20000,12098,GMT-USDT,,0,0.4564
Coinex,Coinex,GRT,0.089591,35000,3135.685,GRT-USDT,,0,3.185
Bybit,Bybit,GRT,0.0895,-35000,-3132.5,GRT-USDT,2.0175,0,3.185
Gate,Gate,GT,4.396,-550.8,-2421.3168,GT-USDT,,-550.8,-2421.3168
Coinex,Coinex,IOTA,0.261553,33255,8697.945015,IOTA-USDT,,0,41.668515
Bybit,Bybit,IOTA,0.2603,-33255,-8656.2765,IOTA-USDT,2.261,0,41.668515
Coinex,Coinex,KAVA,1.4382,3768,5419.1376,KAVA-USDT,,0,0.3768
Gate,Gate,KAVA,1.4381,-3768,-5418.7608,KAVA-USDT,,0,0.3768
Binance,BinanceK,KNC,0.97,207,200.79,KNC-USDT,,207,200.79
Binance,BinanceA,LINK,7.17649752,-199.18,-1429.414776,LINK-USDT,,-199.18,-1429.414776
Okx,Okx,LPT,8.84,1258,11120.72,LPT-USDT,,0,0
Bybit,Bybit,LPT,8.84,-1258,-11120.72,LPT-USDT,64.1,0,0
Coinex,Coinex,LTC,52.25,-0.1,-5.225,LTC-USDT,,-0.1,-5.225
Kucoin,Kucoin,LUNA,2.8185,25,307.456,LUNA-USDT,,25,307.456
Gate,Gate,MINA,0.547,-6000,-3282,MINA-USDT,,0,-1.5
FTX,FTX,MINA,0.54675,6000,3280.5,MINA-USDT,,0,-1.5
Binance,BinanceK,MKR,931.2373556,-11.459,-10671.04886,MKR-USDT,,-0.004,2.786142523
Okx,Okx,MKR,932,22.58,21044.56,MKR-USDT,,-0.004,2.786142523
Gate,Gate,MKR,932.2,-11.125,-10370.725,MKR-USDT,,-0.004,2.786142523
Kucoin,Kucoin,NYM,0.2787,27526,9876.2489,NYM-USDT,,0,2213.0105
Gate,Gate,NYM,0.2784,-27526,-7663.2384,NYM-USDT,,0,2213.0105
Coinex,Coinex,QTUM,2.7261,500,1363.05,QTUM-USDT,,0,0.4
Gate,Gate,QTUM,2.7253,-500,-1362.65,QTUM-USDT,,0,0.4
