exchange,account,symbol
Coinex,Coinex,AAVE
Gate,Gate,AAVE
Bybit,Bybit,ALICE
FTX,FTX,ALICE
Binance,BinanceA,AR
Bybit,Bybit,AR
Bitget,Bitget,AR
Kucoin,Kucoin,BAND
Gate,Gate,BAND
Okx,Okx,BICO
Bybit,Bybit,BICO
Gate,Gate,BSV
FTX,FTX,BSV
Binance,BinanceK,COMP
Okx,Okx,COMP
Okx,Okx,CVC
Bybit,Bybit,CVC
Coinex,Coinex,DASH
Gate,Gate,DASH
Binance,BinanceK,DGB
Gate,Gate,DGB
Binance,BinanceA,DUSK
Bybit,Bybit,DUSK
Coinex,Coinex,DYDX
Bybit,Bybit,DYDX
FTX,FTX,DYDX
Coinex,Coinex,EGLD
Bitget,Bitget,EGLD
Gate,Gate,EGLD
Bybit,Bybit,EOS
FTX,FTX,EOS
Binance,BinanceA,GMT
Okx,Okx,GMT
Coinex,Coinex,GRT
Bybit,Bybit,GRT
Coinex,Coinex,IOTA
Bybit,Bybit,IOTA
Coinex,Coinex,KAVA
Gate,Gate,KAVA
Okx,Okx,LPT
Bybit,Bybit,LPT
Gate,Gate,MINA
FTX,FTX,MINA
Binance,BinanceK,MKR
Okx,Okx,MKR
Gate,Gate,MKR
Kucoin,Kucoin,NYM
Gate,Gate,NYM
Coinex,Coinex,QTUM
Gate,Gate,QTUM
Gate,Gate,RON
FTX,FTX,RON
Coinex,Coinex,RSR
Binance,BinanceA,RSR
Bybit,Bybit,RSR
Binance,BinanceK,RUNE
Gate,Gate,RUNE
Okx,Okx,SLP
Gate,Gate,SLP
Coinex,Coinex,SNX
Binance,BinanceK,SNX
Bitget,Bitget,SNX
Gate,Gate,SNX
Coinex,Coinex,SOL
Okx,Okx,SOL
Bybit,Bybit,STX
Gate,Gate,STX
Coinex,Coinex,SXP
Binance,BinanceA,SXP
Bybit,Bybit,SXP
Gate,Gate,SXP
Coinex,Coinex,UNI
Bybit,Bybit,UNI
Binance,BinanceK,XEM
Bybit,Bybit,XEM
Gate,Gate,XEM
Coinex,Coinex,XRP
Bitget,Bitget,XRP
Bitget,Bitget,YFI
Gate,Gate,YFI
Kucoin,Kucoin,YGG
Gate,Gate,YGG
Okx,Okx,ZRX
Gate,Gate,ZRX
